event_id,session_id,user_id,timestamp,ts,action_type,tool,amount,recipient_id,recipient_type,category,request_status,decision_status,balance_before,policy_auto_limit,policy_daily_limit,policy_allowed_tools,source,scenario,risk_label,fraud_label,policy_violation_label,is_new_recipient
E0000001,U001-normal-000,U001,2026-05-01T09:00:48,1777593648.0,PAYMENT,payment.execute,14100.0,U001-R011,MERCHANT,FOOD,SUCCESS,NOT_EVALUATED,5875330.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000002,U001-agent-normal-015,U001,2026-05-01T12:50:01,1777607401.0,HISTORY_READ,history.read,0.0,U001-R012,BILL,UTILITY,SUCCESS,NOT_EVALUATED,5861230.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_agent,DELEGATED_NORMAL,0,0,0,0
E0000003,U001-normal-000,U001,2026-05-01T14:58:30,1777615110.0,PAYMENT,payment.execute,11700.0,U001-R037,MERCHANT,TRANSPORT,SUCCESS,NOT_EVALUATED,5861230.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000004,U001-normal-000,U001,2026-05-01T17:25:58,1777623958.0,PAYMENT,payment.execute,127400.0,U001-R006,MERCHANT,ETC,SUCCESS,NOT_EVALUATED,5849530.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000005,U001-normal-001,U001,2026-05-02T13:46:16,1777697176.0,PAYMENT,payment.execute,15500.0,U001-R036,MERCHANT,FOOD,SUCCESS,NOT_EVALUATED,5722130.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000006,U001-normal-002,U001,2026-05-03T11:36:24,1777775784.0,PAYMENT,payment.execute,82600.0,U001-R019,MERCHANT,TRANSPORT,SUCCESS,NOT_EVALUATED,5706630.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000007,U001-normal-002,U001,2026-05-03T21:53:53,1777812833.0,PAYMENT,payment.execute,10100.0,U001-R003,MERCHANT,SIMPLE_PAY,SUCCESS,NOT_EVALUATED,5624030.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000008,U001-normal-003,U001,2026-05-04T07:42:11,1777848131.0,TRANSFER,transfer.execute,16600.0,U001-R015,PERSON,P2P,SUCCESS,NOT_EVALUATED,5613930.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000009,U001-agent-normal-026,U001,2026-05-04T08:47:30,1777852050.0,PAYMENT,payment.execute,15300.0,U001-R033,MERCHANT,SIMPLE_PAY,SUCCESS,NOT_EVALUATED,5597330.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_agent,DELEGATED_NORMAL,0,0,0,0
E0000010,U001-normal-003,U001,2026-05-04T17:07:20,1777882040.0,PAYMENT,payment.execute,14300.0,U001-R024,MERCHANT,FOOD,SUCCESS,NOT_EVALUATED,5582030.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
E0000011,U001-normal-003,U001,2026-05-04T17:38:19,1777883899.0,PAYMENT,payment.execute,10900.0,U001-R034,MERCHANT,TRANSPORT,SUCCESS,NOT_EVALUATED,5567730.512398113,680000.0,1800000.0,balance.read|history.read|transfer.execute|payment.execute,normal_user,DAILY_NORMAL,0,0,0,0
